id,label,category,language,from_address,display_name,subject,body,indicators,has_auth_results,spf_result,dkim_result,dmarc_result,origin_ip,domain,domain_age_days
EML-0197,0,legitimate,english,noreply@service.example,Service Notifications,Library due date reminder,This is a reminder that the items on your library account are due next week. You can renew eligible items through the normal library portal.,normal internal workflow; expected meeting/HR communication; known organizational sender,True,neutral,pass,pass,198.51.100.103,service.example,700
EML-0058,1,phishing,english,admin@uni-portal-verification.com,University Portal,Urgent: Verify your account,We detected unusual activity on your account. Please review your security details using the account verification page. Your access may be limited if verification is not completed today.,unexpected payment/account action; lookalike domain,True,pass,none,none,198.51.100.247,uni-portal-verification.com,365
EML-0182,0,legitimate,english,library@university.example,University Library,Monthly HR newsletter,"The monthly HR newsletter is available. It includes upcoming holidays, benefits reminders, and links to the internal employee portal.",expected meeting/HR communication; routine notification,True,neutral,pass,none,198.51.100.224,university.example,700
EML-0190,0,legitimate,english,it@acme.example,ACME IT,Scheduled maintenance notice,The IT team will perform scheduled maintenance this weekend. Some internal services may be unavailable during the maintenance window.,no urgent financial action; standard policy reminder; expected meeting/HR communication,True,pass,none,none,198.51.100.151,acme.example,1200
EML-0233,0,legitimate,english,billing@vendor.example,Vendor Billing,Meeting agenda,"Please find the agenda for tomorrow's team meeting. We will review project progress, open actions, and next week's priorities.",standard policy reminder; no urgent financial action; known organizational sender,False,pass,none,none,198.51.100.21,vendor.example,2500
EML-0180,1,bec,hinglish,finance.director@vendor-payments.com,Finance Director,Payment jaldi process karein,Ye invoice urgent hai. Payment release karne se pehle approved vendor record aur bank details independently verify karein.,urgency language; bank-detail change; gift-card request; executive impersonation,False,neutral,pass,fail,198.51.100.239,vendor-payments.com,180
EML-0173,1,bec,english,finance.director@vendor-payments.com,Finance Director,Invoice approval needed today,Please prioritize this invoice and confirm once the payment has been scheduled. I will be unavailable for most of the day.,gift-card request; out-of-band verification needed; executive impersonation,True,pass,fail,pass,198.51.100.69,vendor-payments.com,90
EML-0002,1,phishing,hinglish,support@paypa1-security.com,PayPal Security,Document review,Ek document aapke review ke liye available hai. Company ke normal document portal se login karke document open karein.,urgency language; account verification request,True,neutral,none,pass,198.51.100.144,paypa1-security.com,21
EML-0226,0,legitimate,english,hr@acme.example,ACME HR,Monthly HR newsletter,"The monthly HR newsletter is available. It includes upcoming holidays, benefits reminders, and links to the internal employee portal.",standard policy reminder; known organizational sender; routine notification,True,neutral,none,pass,198.51.100.138,acme.example,2500
EML-0031,1,phishing,english,support@paypa1-security.com,PayPal Security,Refund notification,Your refund is ready for processing. Confirm the requested account information so the refund can be completed.,suspicious sender identity; lookalike domain; urgency language; unexpected payment/account action,True,pass,pass,none,198.51.100.142,paypa1-security.com,21
EML-0118,1,bec,english,procurement@partner-invoice.net,Procurement,Urgent confidential request,I am in a meeting and need this handled immediately. Please arrange the requested payment and send the confirmation once completed.,urgency language; out-of-band verification needed; executive impersonation; gift-card request,False,pass,pass,none,198.51.100.124,partner-invoice.net,21
EML-0088,1,phishing,english,support@paypa1-security.com,PayPal Security,Document shared with you,A protected document is waiting for review. Sign in to view the document and confirm your identity.,authentication anomaly; unexpected payment/account action; suspicious sender identity,True,neutral,none,pass,198.51.100.127,paypa1-security.com,8
EML-0035,1,phishing,hinglish,support@paypa1-security.com,PayPal Security,Mailbox warning,Aapka mailbox storage limit ke paas hai. Official IT portal par storage status check karein. Kisi unknown link par login details enter na karein.,account verification request; authentication anomaly; urgency language,True,neutral,fail,none,198.51.100.192,paypa1-security.com,21
EML-0028,1,phishing,english,admin@uni-portal-verification.com,University Portal,Refund notification,Your refund is ready for processing. Confirm the requested account information so the refund can be completed.,lookalike domain; account verification request; authentication anomaly,True,fail,fail,pass,198.51.100.172,uni-portal-verification.com,365
EML-0199,0,legitimate,english,noreply@service.example,Service Notifications,Library due date reminder,This is a reminder that the items on your library account are due next week. You can renew eligible items through the normal library portal.,standard policy reminder; routine notification; no urgent financial action,False,pass,none,pass,198.51.100.16,service.example,700
EML-0105,1,bec,hinglish,director.accounts@business-support.org,Director Accounts,Payment jaldi process karein,Ye invoice urgent hai. Payment release karne se pehle approved vendor record aur bank details independently verify karein.,urgency language; gift-card request; bank-detail change,False,neutral,none,pass,198.51.100.227,business-support.org,90
EML-0269,0,legitimate,english,billing@vendor.example,Vendor Billing,Password policy update,The organization's password policy has been updated. Please review the policy on the internal IT portal and contact the help desk with questions.,normal internal workflow; standard policy reminder,False,pass,none,pass,198.51.100.97,vendor.example,5000
EML-0059,1,phishing,english,accounts@bank-secure-alerts.com,Bank Security,Action required: payment information,A recent payment needs confirmation. Review the transaction and confirm your account details as soon as possible.,suspicious sender identity; urgency language,True,neutral,none,fail,198.51.100.102,bank-secure-alerts.com,365
EML-0189,0,legitimate,english,library@university.example,University Library,Scheduled maintenance notice,The IT team will perform scheduled maintenance this weekend. Some internal services may be unavailable during the maintenance window.,no urgent financial action,False,pass,pass,pass,198.51.100.168,university.example,2500
